SCATS Number,Location Description,Site Type,Longitude,Latitude,Nearest Neighbors
970,WARRIGAL/HIGH ST RD,INT,145.09159,-37.86703,[2000 2200 2820 2825 2827 2846]
2000,BURWOOD HWY/WARRIGAL,INT,145.0943457,-37.8516827,[2200 2820 2825 2827 2846 3001]
2200,MAROONDAH/UNION,INT,145.09812,-37.81631,[2000 2820 2825 2827 2846 3001]
2820,CHANDLER HWY/PRINCESS ST,INT,145.03077,-37.79477,[2825 2827 2846 3001 3002 3120]
2825,EASTERN/BURKE ON RAMP,INT,145.06202,-37.78661,[2827 2820 2846 3001 3002 3120]
2827,EASTERN FWY/BULLEEN/THOMPSONS,INT,145.07733,-37.78093,[2825 2820 2846 3001 3002 3120]
2846,MONASH/HIGH/WILLS,INT,145.058038,-37.8612671,[2827 2825 2820 3001 3002 3120]
3001,BARKERS/CHURCH/HIGH,INT,145.02243,-37.81441,[3002 3120 3122 3126 3127 2846]
3002,BARKERS/DENMARK/POWER,INT,145.02663,-37.81489,[3001 3120 3122 3126 3127 2846]
3120,BURKE/CANTERBURY,INT,145.05734,-37.82264,[3122 3126 3127 3180 3002 3001]
3122,CANTERBURY/STANHOPE,INT,145.06466,-37.82379,[3120 3126 3127 3180 3002 3001]
3126,CANTERBURY/WARRIGAL,INT,145.09885,-37.82778,[3127 3122 3120 3180 3002 3001]
3127,CANTERBURY/BALWYN,INT,145.078,-37.82506,[3126 3122 3120 3180 3002 3001]
3180,DONCASTER/BALWYN,INT,145.08372,-37.79611,[3127 3126 3122 3120 3002 3001]
3662,HIGH/DENMARK/PRINCESS/S'PARK,INT,145.02757,-37.80876,[3682 3685 3804 3812 4030 4032]
3682,WARRIGAL/RIVERSDALE,INT,145.09699,-37.83695,[3685 3662 3804 3812 4030 4032]
3685,WARRIGAL/HIGHBURY,INT,145.09384,-37.85467,[3682 3662 3804 3812 4030 4032]
3804,RIVERSDALE/TRAFALGAR,INT,145.06247,-37.83331,[3812 3685 3682 3662 4030 4032]
3812,CAMBERWELL/SEYMOUR/TRAFALGAR,INT,145.06119,-37.83738,[3804 3685 3682 3662 4030 4032]
4030,BURKE/DONCASTER/KILBY/HIGH,INT,145.06251,-37.79561,[4032 4034 4035 4040 4043 4051]
4032,BURKE/BELMORE/HARP,INT,145.06127,-37.80202,[4030 4034 4035 4040 4043 4051]
4034,BURKE/COTHAM/WHITEHORSE,INT,145.05946,-37.81147,[4035 4032 4030 4040 4043 4051]
4035,BURKE/BARKERS/MONT ALBERT,INT,145.0583603,-37.8172654,[4034 4032 4040 4030 4043 4051]
4040,BURKE/CAMBERWELL/RIVERSDALE,INT,145.05545,-37.83256,[4043 4035 4034 4032 4030 4051]
4043,BURKE/TOORAK,INT,145.05275,-37.84683,[4040 4035 4051 4034 4032 4030]
4051,DONCASTER/BULLEEN/SEVERN,INT,145.0696,-37.79419,[4057 4043 4040 4063 4035 4034]
4057,BALWYN/BELMORE,INT,145.08197,-37.80431,[4063 4051 4043 4040 4035 4034]
4063,WHITEHORSE/BALWYN,INT,145.0801,-37.81404,[4057 4051 4043 4040 4035 4034]
4262,BURWOOD/CHURCH,INT,145.01503,-37.82155,[4263 4264 4266 4270 4272 4273]
4263,BURWOOD/POWER,INT,145.0251292,-37.8228462,[4264 4262 4266 4270 4272 4273]
4264,BURWOOD/GLENFERRIE,INT,145.03409,-37.82389,[4263 4266 4262 4270 4272 4273]
4266,BURWOOD/AUBURN,INT,145.04301,-37.82518,[4264 4263 4270 4262 4272 4273]
4270,GLENFERRIE/RIVERSDALE,INT,145.03304,-37.82951,[4272 4273 4266 4264 4263 4262]
4272,RIVERSDALE/TOORONGA,INT,145.04668,-37.83186,[4273 4270 4266 4264 4263 4262]
4273,TOORAK/TOORONGA,INT,145.04378,-37.84632,[4272 4270 4266 4264 4263 4262]
4321,HIGH/HARP/VALERIE,INT,145.0494611,-37.800776,[4324 4335 4273 4272 4270 4266]
4324,COTHAM/GLENFERRIE,INT,145.037306,-37.809274,[4321 4335 4273 4272 4270 4266]
4335,HIGH/CHARLES,INT,145.03518,-37.80624,[4324 4321 4273 4272 4270 4266]
4812,SWAN/MADDEN,INT,145.01644,-37.82859,[4821 4335 4324 4321 4273 4272]
4821,VICTORIA/BURNLEY/WALMER,INT,145.00849,-37.81285,[4812 4335 4324 4321 4273 4272]
