Location,VR Internal Loc,Date,Time,Vehicle Count
BULLEEN_RD N of THOMPSONS_RD,1,2006-10-01,00:00:00,97
OFFRAMP_EASTERN_FWY E of BULLEEN_RD,4,2006-10-01,00:00:00,72
BULLEEN_RD S of EASTERN_FWY_W_BD_RAMPS,5,2006-10-01,00:00:00,29
OFFRAMP_EASTERN_FWY W of BULLEEN_RD,7,2006-10-01,00:00:00,91
BULLEEN_RD N of THOMPSONS_RD,1,2006-10-01,00:15:00,92
OFFRAMP_EASTERN_FWY E of BULLEEN_RD,4,2006-10-01,00:15:00,57
BULLEEN_RD S of EASTERN_FWY_W_BD_RAMPS,5,2006-10-01,00:15:00,29
OFFRAMP_EASTERN_FWY W of BULLEEN_RD,7,2006-10-01,00:15:00,97
BULLEEN_RD N of THOMPSONS_RD,1,2006-10-01,00:30:00,90
OFFRAMP_EASTERN_FWY E of BULLEEN_RD,4,2006-10-01,00:30:00,50
BULLEEN_RD S of EASTERN_FWY_W_BD_RAMPS,5,2006-10-01,00:30:00,33
OFFRAMP_EASTERN_FWY W of BULLEEN_RD,7,2006-10-01,00:30:00,80
BULLEEN_RD N of THOMPSONS_RD,1,2006-10-01,00:45:00,57
OFFRAMP_EASTERN_FWY E of BULLEEN_RD,4,2006-10-01,00:45:00,43
BULLEEN_RD S of EASTERN_FWY_W_BD_RAMPS,5,2006-10-01,00:45:00,25
OFFRAMP_EASTERN_FWY W of BULLEEN_RD,7,2006-10-01,00:45:00,87
BULLEEN_RD N of THOMPSONS_RD,1,2006-10-01,01:00:00,45
OFFRAMP_EASTERN_FWY E of BULLEEN_RD,4,2006-10-01,01:00:00,31
BULLEEN_RD S of EASTERN_FWY_W_BD_RAMPS,5,2006-10-01,01:00:00,17
OFFRAMP_EASTERN_FWY W of BULLEEN_RD,7,2006-10-01,01:00:00,63
BULLEEN_RD N of THOMPSONS_RD,1,2006-10-01,01:15:00,54
OFFRAMP_EASTERN_FWY E of BULLEEN_RD,4,2006-10-01,01:15:00,37
BULLEEN_RD S of EASTERN_FWY_W_BD_RAMPS,5,2006-10-01,01:15:00,22
OFFRAMP_EASTERN_FWY W of BULLEEN_RD,7,2006-10-01,01:15:00,50
BULLEEN_RD N of THOMPSONS_RD,1,2006-10-01,01:30:00,35
OFFRAMP_EASTERN_FWY E of BULLEEN_RD,4,2006-10-01,01:30:00,34
BULLEEN_RD S of EASTERN_FWY_W_BD_RAMPS,5,2006-10-01,01:30:00,21
OFFRAMP_EASTERN_FWY W of BULLEEN_RD,7,2006-10-01,01:30:00,66
BULLEEN_RD N of THOMPSONS_RD,1,2006-10-01,01:45:00,29
OFFRAMP_EASTERN_FWY E of BULLEEN_RD,4,2006-10-01,01:45:00,24
BULLEEN_RD S of EASTERN_FWY_W_BD_RAMPS,5,2006-10-01,01:45:00,14
OFFRAMP_EASTERN_FWY W of BULLEEN_RD,7,2006-10-01,01:45:00,60
BULLEEN_RD N of THOMPSONS_RD,1,2006-10-01,02:00:00,27
OFFRAMP_EASTERN_FWY E of BULLEEN_RD,4,2006-10-01,02:00:00,17
BULLEEN_RD S of EASTERN_FWY_W_BD_RAMPS,5,2006-10-01,02:00:00,10
OFFRAMP_EASTERN_FWY W of BULLEEN_RD,7,2006-10-01,02:00:00,59
BULLEEN_RD N of THOMPSONS_RD,1,2006-10-01,02:15:00,36
OFFRAMP_EASTERN_FWY E of BULLEEN_RD,4,2006-10-01,02:15:00,23
BULLEEN_RD S of EASTERN_FWY_W_BD_RAMPS,5,2006-10-01,02:15:00,11
OFFRAMP_EASTERN_FWY W of BULLEEN_RD,7,2006-10-01,02:15:00,52
BULLEEN_RD N of THOMPSONS_RD,1,2006-10-01,02:30:00,11
OFFRAMP_EASTERN_FWY E of BULLEEN_RD,4,2006-10-01,02:30:00,12
BULLEEN_RD S of EASTERN_FWY_W_BD_RAMPS,5,2006-10-01,02:30:00,12
OFFRAMP_EASTERN_FWY W of BULLEEN_RD,7,2006-10-01,02:30:00,46
BULLEEN_RD N of THOMPSONS_RD,1,2006-10-01,02:45:00,17
OFFRAMP_EASTERN_FWY E of BULLEEN_RD,4,2006-10-01,02:45:00,17
BULLEEN_RD S of EASTERN_FWY_W_BD_RAMPS,5,2006-10-01,02:45:00,16
OFFRAMP_EASTERN_FWY W of BULLEEN_RD,7,2006-10-01,02:45:00,50
BULLEEN_RD N of THOMPSONS_RD,1,2006-10-01,03:00:00,16
OFFRAMP_EASTERN_FWY E of BULLEEN_RD,4,2006-10-01,03:00:00,10
BULLEEN_RD S of EASTERN_FWY_W_BD_RAMPS,5,2006-10-01,03:00:00,7
OFFRAMP_EASTERN_FWY W of BULLEEN_RD,7,2006-10-01,03:00:00,48
BULLEEN_RD N of THOMPSONS_RD,1,2006-10-01,03:15:00,16
OFFRAMP_EASTERN_FWY E of BULLEEN_RD,4,2006-10-01,03:15:00,19
BULLEEN_RD S of EASTERN_FWY_W_BD_RAMPS,5,2006-10-01,03:15:00,9
OFFRAMP_EASTERN_FWY W of BULLEEN_RD,7,2006-10-01,03:15:00,48
BULLEEN_RD N of THOMPSONS_RD,1,2006-10-01,03:30:00,13
OFFRAMP_EASTERN_FWY E of BULLEEN_RD,4,2006-10-01,03:30:00,13
BULLEEN_RD S of EASTERN_FWY_W_BD_RAMPS,5,2006-10-01,03:30:00,9
OFFRAMP_EASTERN_FWY W of BULLEEN_RD,7,2006-10-01,03:30:00,33
BULLEEN_RD N of THOMPSONS_RD,1,2006-10-01,03:45:00,16
OFFRAMP_EASTERN_FWY E of BULLEEN_RD,4,2006-10-01,03:45:00,11
BULLEEN_RD S of EASTERN_FWY_W_BD_RAMPS,5,2006-10-01,03:45:00,10
OFFRAMP_EASTERN_FWY W of BULLEEN_RD,7,2006-10-01,03:45:00,32
BULLEEN_RD N of THOMPSONS_RD,1,2006-10-01,04:00:00,16
OFFRAMP_EASTERN_FWY E of BULLEEN_RD,4,2006-10-01,04:00:00,12
BULLEEN_RD S of EASTERN_FWY_W_BD_RAMPS,5,2006-10-01,04:00:00,13
OFFRAMP_EASTERN_FWY W of BULLEEN_RD,7,2006-10-01,04:00:00,50
BULLEEN_RD N of THOMPSONS_RD,1,2006-10-01,04:15:00,14
OFFRAMP_EASTERN_FWY E of BULLEEN_RD,4,2006-10-01,04:15:00,16
BULLEEN_RD S of EASTERN_FWY_W_BD_RAMPS,5,2006-10-01,04:15:00,10
OFFRAMP_EASTERN_FWY W of BULLEEN_RD,7,2006-10-01,04:15:00,37
