Location,VR Internal Loc,Date,Time,Vehicle Count
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,00:00:00,51
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,00:00:00,73
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,00:00:00,61
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,00:00:00,104
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,00:15:00,55
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,00:15:00,81
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,00:15:00,51
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,00:15:00,82
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,00:30:00,75
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,00:30:00,59
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,00:30:00,65
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,00:30:00,91
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,00:45:00,39
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,00:45:00,65
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,00:45:00,49
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,00:45:00,97
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,01:00:00,45
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,01:00:00,59
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,01:00:00,31
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,01:00:00,90
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,01:15:00,41
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,01:15:00,62
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,01:15:00,32
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,01:15:00,82
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,01:30:00,59
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,01:30:00,47
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,01:30:00,44
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,01:30:00,87
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,01:45:00,59
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,01:45:00,79
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,01:45:00,42
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,01:45:00,84
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,02:00:00,47
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,02:00:00,58
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,02:00:00,23
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,02:00:00,68
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,02:15:00,47
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,02:15:00,34
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,02:15:00,28
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,02:15:00,64
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,02:30:00,34
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,02:30:00,37
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,02:30:00,20
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,02:30:00,44
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,02:45:00,40
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,02:45:00,52
GLENFERRIE_RD S of BURWOOD_RD,5,2006-10-01,02:45:00,39
BURWOOD_RD W of GLENFERRIE_RD,7,2006-10-01,02:45:00,75
GLENFERRIE_RD N of BURWOOD_RD,1,2006-10-01,03:00:00,48
BURWOOD_RD E of GLENFERRIE_RD,3,2006-10-01,03:00:00,39
