Location,Date,Time,Vehicle Count
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,0:00,43
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,0:00,32
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,0:00,28
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,0:15,34
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,0:15,29
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,0:15,25
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,0:30,35
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,0:30,32
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,0:30,43
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,0:45,24
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,0:45,15
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,0:45,30
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,10:00,76
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,10:00,52
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,10:00,80
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,10:15,77
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,10:15,46
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,10:15,77
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,10:30,111
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,10:30,47
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,10:30,98
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,10:45,112
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,10:45,55
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,10:45,98
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,11:00,130
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,11:00,58
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,11:00,94
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,11:15,114
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,11:15,54
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,11:15,90
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,11:30,120
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,11:30,57
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,11:30,101
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,11:45,118
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,11:45,71
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,11:45,107
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,12:00,92
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,12:00,66
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,12:00,108
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,12:15,124
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,12:15,66
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,12:15,116
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,12:30,133
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,12:30,71
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,12:30,103
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,12:45,121
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,12:45,86
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,12:45,120
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,13:00,106
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,13:00,86
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,13:00,102
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,13:15,108
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,13:15,67
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,13:15,133
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,13:30,135
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,13:30,71
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,13:30,105
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,13:45,126
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,13:45,65
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,13:45,91
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,14:00,126
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,14:00,55
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,14:00,99
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,14:15,116
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,14:15,62
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,14:15,93
COTHAM_RD E OF GLENFERRIE_RD,2006-10-01,14:30,111
GLENFERRIE_RD S OF COTHAM_RD,2006-10-01,14:30,60
COTHAM_RD W OF GLENFERRIE_RD,2006-10-01,14:30,104
