SCATS Number,Longitude,Latitude,Nearest Neighbors,Distances (km)
970,145.09159,-37.86703,[2000 2200 2820 2825 2827 2846],"[1030.0000001180258, 1230.000001063073, 1850.0000024109675, 1855.0000019789113, 1857.0000020507694, 1876.000000308888]"
2000,145.0943457,-37.8516827,[2200 2820 2825 2827 2846 3001],"[200.0000031636831, 820.0000044395885, 825.0000031996408, 827.0000032016195, 846.0000008333982, 1001.0000032772837]"
2200,145.09812,-37.81631,[2000 2820 2825 2827 2846 3001],"[200.0000031636831, 620.0000040322533, 625.00000174824, 627.0000013428776, 646.0000028078232, 801.0000035783934]"
2820,145.03077,-37.79477,[2825 2827 2846 3001 3002 3120],"[5.000104313721865, 7.000168525057093, 26.000099334582018, 181.00000125769392, 182.0000011592143, 300.00000247116964]"
2825,145.06202,-37.78661,[2827 2820 2846 3001 3002 3120],"[2.000066663513994, 5.000104313721865, 21.00013308383793, 176.00000664831833, 177.00000579720472, 295.0000022373954]"
2827,145.07733,-37.78093,[2825 2820 2846 3001 3002 3120],"[2.000066663513994, 7.000168525057093, 19.00017963680608, 174.00001188195478, 175.0000106393471, 293.0000036507239]"
2846,145.058038,-37.8612671,[2827 2825 2820 3001 3002 3120],"[19.00017963680608, 21.00013308383793, 26.000099334582018, 155.00001117263665, 156.00001005544155, 274.0000027236132]"
3001,145.02243,-37.81441,[3002 3120 3122 3126 3127 2846],"[1.0000089351600814, 119.00000540521417, 121.00000773288116, 125.00002407509088, 126.00001270415571, 155.00001117263665]"
3002,145.02663,-37.81489,[3001 3120 3122 3126 3127 2846],"[1.0000089351600814, 118.00000425070586, 120.00000635621191, 124.00002170112916, 125.00001096922271, 156.00001005544155]"
3120,145.05734,-37.82264,[3122 3126 3127 3180 3002 3001],"[2.000013726177898, 6.000145789870443, 7.000030906503199, 60.00001166454303, 118.00000425070586, 119.00000540521417]"
3122,145.06466,-37.82379,[3120 3126 3127 3180 3002 3001],"[2.000013726177898, 4.0001481067830476, 5.000017956817755, 58.00000973677505, 120.00000635621191, 121.00000773288116]"
